Season,Date,Time,League,Home Team,Away Team,Betfair Odds Home,Betfair Odds Draw,Betfair OddsAway ,FTS Odds Home,FTS Odds Draw,FTS Odds Away ,Home Difference,Draw Difference,Away Difference,HT Score Home,HT Score Away,FT Score Home,FT Score Away,FT1X2,Home BACK,Draw BACK,Away BACK,Home LAY,Draw LAY,Away LAY,GP,W,D,L,Pts,Ave,GP,W,D,L,Pts,Ave,,Colour Index,Colour Index,Home,Draw,Away,Home,Draw,Away,Home  v Draw,Home v Away,Away v Draw,Home,Draw,Away,Home Pinn Diff,Draw Pinn Diff,Away Pinn Diff,Pinn Home BACK,Pinn Draw BACK,Pinn Away BACK, Pinn Home LAY,Pinn Draw LAY,Pinn Away LAY,
2023/2024,11 August 2023,18:30,Spanish Primera Division,Almeria,Rayo Vallecano,2.56,3.4,3.1,2,10,2.5,10.94,-19.41,7.74,0,2,0,2,2,-1,-1,2.0055,0.955,0.955,-2.1,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,2.58,3.43,3.12,38.76,29.15,32.05,9.61,6.71,2.9,2.66,3.25,2.96,-1.47,1.36,1.53,-1,-1,1.92,0.98,0.98,-1.96,100.73
2023/2024,11 August 2023,20:00,English Premier League,Burnley,Man City,9.8,5.9,1.36,9.5,6.33,1.36,0.32,-1.15,0,0,2,0,3,2,-1,-1,0.3438,0.955,0.955,-0.36,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,10.02,5.98,1.36,9.98,16.72,73.53,-6.74,-63.55,56.81,9.62,5.81,1.33,0.19,0.26,1.66,-1,-1,0.32,0.98,0.98,-0.33,100.68
2023/2024,11 August 2023,21:00,Spanish Primera Division,Sevilla,Valencia,1.99,3.5,4.6,1.9,4.22,4.22,2.38,-4.87,1.96,0,0,1,2,2,-1,-1,3.438,0.955,0.955,-3.6,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,2,3.52,4.64,50,28.41,21.55,21.59,28.45,-6.86,1.94,3.46,4.58,1.3,0.33,0.09,-1,-1,3.51,0.98,0.98,-3.58,100.56
2023/2024,12 August 2023,13:00,English Premier League,Arsenal,Nottm Forest,1.22,8.2,17,1.62,3.5,10.5,-20.24,16.38,3.64,2,0,2,1,1,0.2101,-1,-1,-0.22,0.955,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,1.22,8.21,17.04,81.97,12.18,5.87,69.79,76.1,-6.31,1.19,8,16,2.07,0.3,0.37,0.19,-1,-1,-0.19,0.98,0.98,100.04
2023/2024,12 August 2023,15:00,English Premier League,Bournemouth,West Ham,2.8,3.5,2.76,3,3,3,-2.38,4.76,-2.9,0,0,1,1,X,-1,2.3875,-1,0.955,-2.5,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,2.81,3.52,2.77,35.59,28.41,36.1,7.18,-0.51,7.69,2.75,3.6,2.63,0.65,-0.79,1.79,-1,2.55,-1,0.98,-2.6,0.98,100.52
2023/2024,12 August 2023,15:00,English Premier League,Brighton,Luton,1.34,6,10.5,2.57,2.25,6,-35.72,27.78,7.14,1,0,4,1,1,0.3247,-1,-1,-0.34,0.955,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,1.34,6.1,10.81,74.63,16.39,9.25,58.24,65.38,-7.14,1.27,6.36,11.36,4.11,-0.94,-0.72,0.26,-1,-1,-0.27,0.98,0.98,100.82
2023/2024,12 August 2023,15:00,English Premier League,Everton,Fulham,2.32,3.5,3.45,2.44,21.98,1.83,-2.12,-24.02,25.66,0,0,0,1,2,-1,-1,2.33975,0.955,0.955,-2.45,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,2.33,3.53,3.48,42.92,28.33,28.74,14.59,14.18,0.41,2.39,3.32,3.3,-1.26,1.55,1.32,-1,-1,2.25,0.98,0.98,-2.3,100.66
2023/2024,12 August 2023,15:00,English Premier League,Sheff Utd,C Palace,3.3,3.35,2.48,3.8,3.8,2.11,-3.99,-3.53,7.07,0,0,0,1,2,-1,-1,1.4134,0.955,0.955,-1.48,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,3.32,3.37,2.49,30.12,29.67,40.16,0.45,-10.04,10.49,3.98,3.22,2.17,-5.18,1.21,5.76,-1,-1,1.15,0.98,0.98,-1.17,100.48
2023/2024,12 August 2023,16:00,Spanish Primera Division,Sociedad,Girona,1.67,4.2,6,1.69,2.75,21.98,-0.71,12.55,-12.12,1,0,1,1,X,-1,3.056,-1,0.955,-3.2,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,1.67,4.22,6.04,59.88,23.7,16.56,36.18,43.32,-7.14,1.85,3.6,4.91,-5.83,3.97,3.7,-1,2.55,-1,0.98,-2.6,0.98,100.36
2023/2024,12 August 2023,17:30,English Premier League,Newcastle,Aston Villa,1.83,4,4.8,1.93,7.25,2.9,-2.83,-11.21,13.65,2,1,5,1,1,0.79265,-1,-1,-0.83,0.955,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,1.84,4.03,4.84,54.35,24.81,20.66,29.54,33.69,-4.15,1.68,4.2,5.29,4.88,-1.19,-1.93,0.67,-1,-1,-0.68,0.98,0.98,100.48
2023/2024,12 August 2023,18:30,Spanish Primera Division,Las Palmas,Mallorca,2.52,3.05,3.55,2.52,3.05,3.55,0,0,0,1,0,1,1,X,-1,1.95775,-1,0.955,-2.05,0.955,0,0,0,0,0,NA,0,0,0,0,0,NA,,Grey,Grey,2.53,3.07,3.58,39.53,32.57,27.93,6.96,11.6,-4.64,2.64,2.93,3.32,-1.8,1.34,1.95,-1,1.89,-1,0.98,-1.93,0.98,100.64
